商品erpid,连锁名称,连锁id,通用名称,商品名称,条形码,批准文号,规格,生产厂家,成本价,销售单价_平均值,销售数量_总和,销售金额_总和
4069000,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,T莪冰草本抑菌凝胶,\N,\N,琼（海口）卫消证字（2017）第0002号,10g,海南回元堂药业有限公司,0,30.9,4,123.6
4069000,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,莪冰草本抑菌凝胶,\N,\N,琼（海口）卫消证字（2017）第0002号,10g,海南回元堂药业有限公司,0,46,1,46
4069002,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,T皮肤抑菌液（75%酒精）欣蒙制药,\N,6973445798785,鲁卫消证字（2020）第1216号,2.5L,山东福德堂生物科技有限公司,0,10,1,10
4069002,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,皮肤抑菌液（75%酒精）欣蒙制药,\N,6973445798785,鲁卫消证字（2020）第1216号,2.5L,山东福德堂生物科技有限公司,0,24.85,10,248.5
4069003,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,T浮来春75%酒精消毒液,\N,6973064190014,鲁卫消证字（2020）第1001号,500ml,山东浮来春生物化工有限公司,0,6.5,1,6.5
4069003,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,浮来春75%酒精消毒液,\N,6973064190014,鲁卫消证字（2020）第1001号,500ml,山东浮来春生物化工有限公司,0,6.23,22,135
4069006,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,花露抑菌水/康中医,\N,6934705609708,辽卫消证字2015第0603号,100ml,丹东欣时代生物医药科技有限公司,0,8.8,1644.01,14447.5
4069012,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,欧纯金银花祛痱抑菌粉,\N,6957602222160,赣卫消证字2017第C011号,140g,江西汇顺实业有限公司,0,12.19,545,6642.89
4069013,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,欧纯牌玉米爽身抑菌粉,\N,6957602222177,赣卫消证字2017第C011号,140g,江西汇顺实业有限公司,0,12.36,441,5430.95
4069014,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,T艾草爽肤抑菌粉,\N,6971173778369,赣卫消证字2017第C005号,140g ,江西众腾药业有限公司,0,15.86,73,1148.77
4069014,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,艾草爽肤抑菌粉,\N,6971173778369,赣卫消证字2017第C005号,140g ,江西众腾药业有限公司,0,16.22,221,3581.68
4069019,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,T清凉薄荷益口亲口腔护理抑菌液/漱口水,\N,6971173778314,赣卫消证字2017第C005号,250ml,江西众腾药业有限公司,0,13.6,18,245.73
4069019,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,清凉薄荷益口亲口腔护理抑菌液/漱口水,\N,6971173778314,赣卫消证字2017第C005号,250ml,江西众腾药业有限公司,0,14.59,428,6244.59
4069022,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,T白金牌阴部抗菌液（喷剂）,私处抗菌喷雾,6971253460252,陕卫消证字（2021）第A060号,30mL,白金制药（西安）有限公司,0,36.82,52,1914.8
4069022,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,白金牌私处抗菌喷雾,私处抗菌喷雾,\N,陕卫消证字（2021）第A060号,30mL,白金制药（西安）有限公司,0,198,4,792
4069022,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,白金牌私处抗菌喷雾,私处抗菌喷雾,6971253460252,陕卫消证字（2021）第A060号,30mL,白金制药（西安）有限公司,0,37.27,715,26651.74
4069022,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,白金牌阴部抗菌液（喷剂）,私处抗菌喷雾,6971253460252,陕卫消证字（2021）第A060号,30mL,白金制药（西安）有限公司,0,36.73,108,3966.95
4069025,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,白金牌鞋袜消毒喷雾,\N,\N,陕卫消证字（2021）第A060号,180mL,白金制药（西安）有限公司,0,39.8,1,39.8
4069025,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,白金牌鞋袜消毒喷雾,\N,6971253460269,陕卫消证字（2021）第A060号,180mL,白金制药（西安）有限公司,0,38.31,651,24937.52
4069027,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,康中医餐具消毒清洁剂（青柠味）,餐具消毒清洁剂,6934705614016,辽卫消证字(2015)第0603号,1L,丹东欣时代生物医药科技有限公司,0,11.78,53,622.03
4069028,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,清花润卫生湿巾-湿厕纸,湿厕纸,6934705613330,辽卫消证字（2015）第0602号,80片,丹东欣时代生物医药科技有限公司,0,9.8,2044,19579.85
4069032,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,清花润厨房湿巾,湿巾,6934705608992,辽卫消证字（2015）第0602号,80片,丹东欣时代生物医药科技有限公司,0,8.96,1440,12569.68
4069035,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,康中医餐具消毒清洁剂（香橙味）,\N,6934705614023,辽卫消证字(2015)第0603号,1L,丹东欣时代生物医药科技有限公司,0,11.31,1431,16110.16
4069056,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,T抑菌护肤甘油/康中医,护肤甘油,6934705614962,辽卫消证字2015第0603号,100g,丹东欣时代生物医药科技有限公司,0,2.8,1,2.8
4069056,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,抑菌护肤甘油/康中医,护肤甘油,6934705614962,辽卫消证字2015第0603号,100g,丹东欣时代生物医药科技有限公司,0,8.31,176,1459.79
4069059,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,T康中医护手抑菌膏,\N,6934705610155,辽卫消证字(2015)第0603号,50g,丹东欣时代生物医药科技有限公司,0,8.47,317,2603.48
4069059,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,康中医护手抑菌膏,\N,6934705610155,辽卫消证字(2015)第0603号,50g,丹东欣时代生物医药科技有限公司,0,8.75,173,1481.69
4069060,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,康中医冬季抑菌护肤膏,\N,6934705611497,辽卫消证字(2015)第0603号,20g,丹东欣时代生物医药科技有限公司,0,12.09,121,1463.29
4069072,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,T天天象爱马油唇部抑菌膏/樱桃味,唇膏,6920605195809,闽卫消证字(2005)第0032号,10g,福州绿野生化技术有限公司,0,9.4,2,18.8
4069072,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,天天象爱马油唇部抑菌膏/樱桃味,唇膏,6920605195809,闽卫消证字(2005)第0032号,10g,福州绿野生化技术有限公司,0,11.39,286,3225.94
4069073,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,天天象爱马油唇部抑菌膏/原味味,唇膏,6920605195700,闽卫消证字(2005)第0032号,10g,福州绿野生化技术有限公司,0,11.49,248,2853.18
4069074,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,T天天象爱马油唇部抑菌膏/苹果味,唇膏,6920605195908,闽卫消证字(2005)第0032号,10g,福州绿野生化技术有限公司,0,8.7,2,17.4
4069074,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,天天象爱马油唇部抑菌膏/苹果味,唇膏,6920605195908,闽卫消证字(2005)第0032号,10g,福州绿野生化技术有限公司,0,11.35,267,3028.61
4069075,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,T天天象爱马油唇部抑菌膏/草莓味,唇膏,6920605195007,闽卫消证字(2005)第0032号,10g,福州绿野生化技术有限公司,0,3,1,3
4069075,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,天天象爱马油唇部抑菌膏/草莓味,唇膏,6920605195007,闽卫消证字(2005)第0032号,10g,福州绿野生化技术有限公司,0,11.98,249,2981.37
4069077,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,艾草洁肤抑菌露/博伦优品,艾草洁肤抑菌露,6974975664045,（鄂）卫消证字（2022）第0011号,700ml,湖北中研科院药业有限公司,0,27.26,400,10829.66
4069078,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,T艾草润养抑菌乳/博伦优品,艾草润养抑菌乳,6974975664021,（鄂）卫消证字（2022）第0011号,400ml,湖北中研科院药业有限公司,0,7,2,14
4069078,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,艾草润养抑菌乳/博伦优品,艾草润养抑菌乳,6974975664021,（鄂）卫消证字（2022）第0011号,400ml,湖北中研科院药业有限公司,0,24.68,332,8147.74
4069079,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,除螨洁净抑菌露/博伦优品,除螨洁净抑菌露,6974975664052,（鄂）卫消证字（2022）第0011号,700ml,湖北中研科院药业有限公司,0,27.17,515,13917.24
4069080,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,T老姜王顺养抑菌乳/博伦优品,老姜王顺养抑菌乳,6974975664014,（鄂）卫消证字（2022）第0011号,400ml,湖北中研科院药业有限公司,0,13,1,13
4069080,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,老姜王顺养抑菌乳/博伦优品,老姜王顺养抑菌乳,6974975664014,（鄂）卫消证字（2022）第0011号,400ml,湖北中研科院药业有限公司,0,24.94,586,14520.66
4069081,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,山茶油清洁抑菌露/博伦优品,山茶油清洁抑菌露,6974975664038,（鄂）卫消证字（2022）第0011号,500ml,湖北中研科院药业有限公司,0,26.8,351,9340.23
4069082,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,山茶油固养抑菌乳/博伦优品,\N,6974975664069,（鄂）卫消证字（2022）第0011号,500ml,湖北中研科院药业有限公司,0,26.33,468,12128.94
4069083,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,维生素E抑菌霜/博伦优品,维生素E抑菌霜,6974975664083,（鄂）卫消证字（2022）第0011号,100g,湖北中研科院药业有限公司,0,13.71,712,9715.38
4069091,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,T御禧本草TM衣物消毒液,\N,6974006306111,鲁卫消证字2022第0500号,2kg,山东御禧本草健康产业有限公司,0,15.61,128,1657.88
4069091,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,御禧本草TM衣物消毒液,\N,6974006306111,鲁卫消证字2022第0500号,2kg,山东御禧本草健康产业有限公司,0,17.92,751,11425.08
4069092,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,T御禧本草TM餐具厨具消毒液,\N,6974006301000,鲁卫消证字2022第0500号,1.1千克,山东御禧本草健康产业有限公司,0,11.25,125,1399.98
4069092,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,御禧本草TM餐具厨具消毒液,\N,6974006301000,鲁卫消证字2022第0500号,1.1千克,山东御禧本草健康产业有限公司,0,11.93,449,5349.16
4069093,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,御禧本草TM一抑菌洗手液,\N,6974006309006,鲁卫消证字2022第0500号,350克,山东御禧本草健康产业有限公司,0,9.23,1937.01,17588.06
4069102,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,御禧本草衣物消毒液,\N,6974006309969,鲁卫消证字2022第0500号,500ml,山东御禧本草健康产业有限公司,0,14.98,333,4895.94
4069103,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,T手部抑菌霜/国药集团,\N,6974975664076,鄂卫消证字（2022）第0011号,100g,湖北中研科院药业有限公司,0,9.57,81,771.7
4069103,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,手部抑菌霜/国药集团,\N,6974975664076,鄂卫消证字（2022）第0011号,100g,湖北中研科院药业有限公司,0,9.01,1451,12412.66
4069104,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,T博伦优品物表消毒液/维安喜,物表消毒液,6974975663468,鄂卫消证字（2022）第0011号,500ml,湖北中研科院药业有限公司,0,3.57,4,14.26
4069104,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,博伦优品物表消毒液/维安喜,物表消毒液,6974975663468,鄂卫消证字（2022）第0011号,500ml,湖北中研科院药业有限公司,0,8.43,77,647.05
4069124,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,苗家七草抑菌液艾叶花露水,\N,\N,（豫)卫消证字(20210088号,195ml,河南众合药业有限公司,0,11.87,4,48.4
4069124,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,苗家七草抑菌液艾叶花露水/zp,\N,\N,（豫)卫消证字(20210088号,195ml,河南众合药业有限公司,0,11.25,105,1149.52
4069124,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,苗家七草抑菌液艾叶花露水/zp,\N,6974375260106,（豫)卫消证字(20210088号,195ml,河南众合药业有限公司,0,9.44,60,557.6
4069128,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,白金牌抑菌含漱液（儿童）,\N,6971253460375,陕卫消证字（2021）第A060号,10ml*15袋,白金制药（西安）有限公司,0,37.68,186,6987.63
4069129,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,白金牌皮肤消毒喷雾,\N,6971253460344,陕卫消证字（2021）第A060号,30ml*1瓶,白金制药（西安）有限公司,0,37.77,384,14508.68
4069130,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,T白金牌抑菌私处凝胶,\N,6971253460092,陕卫消证字（2021）第A060号,2.6g*8支,白金制药（西安）有限公司,0,142.48,46,6206.37
4069130,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,白金牌抑菌私处凝胶,\N,6971253460092,陕卫消证字（2021）第A060号,2.6g*8支,白金制药（西安）有限公司,0,154.47,157,22987.9
4069131,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,白金牌抗菌皮肤清护液,\N,6971253460054,陕卫消证字（2021）第A060号,80ml*1瓶,白金制药（西安）有限公司,0,36.42,155,5650.75
4069132,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,T白金牌抗菌漱口液,\N,6971253460108,陕卫消证字（2021）第A060号,120ml*1瓶,白金制药（西安）有限公司,0,28.87,7,202.1
4069132,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,白金牌抗菌漱口液,\N,6971253460108,陕卫消证字（2021）第A060号,120ml*1瓶,白金制药（西安）有限公司,0,28.95,1066,30831.61
4069133,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,T白金牌抗菌口腔喷剂（成人）,\N,6971253460078,陕卫消证字（2021）第A060号,15ml*1瓶,白金制药（西安）有限公司,0,55.33,48,2644.06
4069133,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,白金牌抗菌口腔喷剂（成人）,\N,\N,陕卫消证字（2021）第A060号,15ml*1瓶,白金制药（西安）有限公司,0,58,10,580
4069133,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,白金牌抗菌口腔喷剂（成人）,\N,6971253460078,陕卫消证字（2021）第A060号,15ml*1瓶,白金制药（西安）有限公司,0,56.04,734,41132.48
40692,贵州省健一生药业连锁有限责任公司,b271e7ee16ad4c65ad0c169c28bad6a6,排卵试纸,促黄体生成素（HL）检测试纸（胶体金法）,6938444900027,粤械注准20162400112,1条,-,0,1.07,10738,10787.56
40692,贵州省健一生药业连锁有限责任公司,b271e7ee16ad4c65ad0c169c28bad6a6,大卫排卵试纸,促黄体生成素（HL）检测试纸（胶体金法）,6938444900027,粤械注准20162400112,1条,-,0,1.07,27263,28103.59
4069209,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,T75%酒精消毒液,75%酒精,\N,鲁卫消证字（2017）第1306号,2.5L,山东荣河消毒科技有限公司,0,7.4,1,7.4
4069235,邹平方正医药有限公司,45fb2a39f3a24568b6422ca267c7b9da,绿力橄榄VE甘油抑菌凝胶/颜若芙,\N,6974296428746,渝卫消证字(2020)第0935号,120g,重庆秀雨药业有限公司,0,9.61,968,9289.23
